account_id;transaction_count;transaction_value_count
8261;675;4802.843111111111
3834;665;3333.554135338346
96;661;10211.556732223904
2932;655;8563.011908396946
9307;649;7649.525423728814
9265;643;8694.947433903577
5215;637;3495.162480376766
2762;634;11670.911041009464
1801;633;7506.822274881517
866;628;3149.5936305732484
5952;628;7783.763057324841
2926;620;2744.296935483871
1006;613;1055.6569331158237
9034;611;5386.022258592471
2023;610;5849.113278688525
3050;609;9982.3921182266
2484;608;3786.0184210526318
655;606;5808.731848184819
485;605;9169.314214876033
9188;605;3242.9128925619834
3935;602;5620.94219269103
1726;602;3705.9908637873755
5313;601;8247.93394342762
1378;600;6092.498500000001
3007;600;5730.4275
982;599;1507.6938230383973
10451;598;3753.9239130434785
396;596;5818.968288590604
1338;592;8094.232601351352
7819;591;2197.5818950930625
1402;589;2380.0376910016976
1000;584;8184.491267123289
4079;584;8464.04743150685
9093;580;4664.36448275862
6040;580;5635.808793103449
7857;579;9235.258549222799
173;572;4513.022202797203
11013;571;11166.87180385289
3674;570;12178.439298245614
3558;569;11174.169947275923
239;569;8833.284358523726
2938;569;10942.402987697715
2838;567;12990.83721340388
7133;567;1315.5744268077601
3882;566;947.6719081272086
47;565;8732.554690265488
3212;565;991.2293805309735
5622;565;9277.94831858407
2632;564;3893.8333333333335
1566;564;3832.491843971631
1978;564;8622.56365248227
11295;563;5116.963943161634
3260;563;11138.466785079929
3424;562;8357.655338078292
3096;562;5250.847330960854
9236;561;3690.7429590017828
3818;560;4916.421785714286
4937;560;9248.266785714286
1404;559;6575.215563506261
772;558;6562.410035842294
1019;557;5475.695152603232
3909;556;6715.799999999999
2645;555;3126.5064864864867
1513;553;3763.8940325497288
1276;551;2174.7994555353903
10738;550;9257.13109090909
8625;549;11533.747358834244
244;547;1264.184643510055
9833;547;12866.431627056672
2676;547;4282.076599634369
2649;546;2882.6695970695973
3302;545;1049.8943119266055
8475;544;2002.9358455882355
477;543;4616.341068139964
8564;543;9683.493370165746
2241;541;3369.257486136784
1515;540;7315.935370370371
9203;540;12067.004259259258
7445;539;8882.794805194806
2318;536;5790.899626865672
2050;536;4122.10578358209
8321;535;3375.11738317757
1366;534;2379.6546816479404
2486;534;12940.828464419475
368;533;2280.2217636022515
8073;533;9737.571294559099
3354;533;2727.0819887429643
8405;532;5007.274436090225
1891;532;1244.5347744360902
2779;531;4597.908851224106
362;530;3002.8883018867928
3629;530;4346.113584905661
9640;530;6509.8316981132075
5442;530;8186.315849056605
3413;529;2654.0483931947074
1644;528;4212.333143939394
425;528;1964.9626893939394
8519;527;10591.576470588236
9337;526;6031.2994296577945
2991;525;6142.407047619048
8330;525;5976.465714285714
3948;523;3755.3265774378588
2523;522;851.8727969348658
1200;520;6595.760576923077
3113;519;9021.271290944123
5423;516;7682.147674418605
3064;512;2940.8072265625
738;512;6476.11875
854;511;2768.042661448141
1412;511;4063.2471624266145
588;508;2358.930905511811
1779;507;6568.8952662721895
686;506;3180.240316205534
2700;505;8006.752673267327
196;504;3495.6156746031747
2697;503;2221.471769383698
555;503;6573.137574552684
5927;502;3824.3103585657373
7753;500;12693.2464
931;499;1579.1254509018036
11021;499;10103.73486973948
1603;499;3259.680160320641
10105;499;11830.941883767535
793;497;975.2603621730383
5129;496;13990.103024193548
71;496;5435.069556451613
3999;493;4391.6438133874235
2813;493;3811.578498985801
816;493;11259.115010141988
11111;492;11284.766869918698
3714;492;7616.622764227642
2189;491;6210.383910386965
3094;491;4030.054378818737
863;491;12011.304887983708
897;491;9739.590427698575
290;491;8497.66415478615
2068;490;1216.22
2510;490;5582.356734693877
1750;490;7971.983265306122
1762;490;5135.561632653062
9883;489;9178.110020449898
2542;489;1816.3588957055215
2219;488;15026.68975409836
902;488;2423.440778688525
273;488;4160.082991803279
2951;487;3366.0283367556467
10364;487;4808.485831622177
1909;486;925.3777777777777
2379;485;1722.0317525773196
11265;484;2654.785950413223
9707;483;10663.849896480331
1766;483;4538.910351966874
541;481;5810.207276507277
280;481;3935.738045738046
207;481;1703.0031185031185
9656;481;11633.435343035344
5422;480;9763.806666666667
2527;480;11722.982708333333
1949;480;3124.7685416666664
704;479;5584.319832985387
6701;479;13227.722338204592
2902;479;6472.29770354906
1678;479;7255.652400835073
7401;478;6605.885774058577
1761;478;3581.3483263598328
4414;478;3752.4271966527194
1813;478;12727.364016736401
2;478;6593.052928870293
8982;477;9201.687211740042
107;476;2222.6789915966388
2124;476;6745.301890756303
784;476;5914.884663865547
3745;476;8901.418907563026
2429;476;4769.443277310925
3617;475;4573.145263157895
2482;475;3128.2145263157895
10973;474;13179.012658227848
10663;473;11962.187526427062
2694;473;5805.581606765328
6473;473;11575.646088794925
2933;473;10610.785412262156
2555;472;6104.8983050847455
385;472;983.4408898305085
2176;471;8654.492356687899
3593;471;5048.028874734608
494;471;9146.917197452229
8899;471;9901.123991507431
2122;470;11810.152765957446
3980;470;3015.8551063829786
7123;470;13461.320212765957
10093;470;9992.61404255319
1565;470;1912.948085106383
1811;470;7174.257659574469
3487;469;5282.455223880597
2471;469;10865.49104477612
361;468;7672.858333333334
10670;468;11761.351923076923
1286;468;14125.348504273503
2052;467;2906.9256959314775
365;466;5001.5663090128755
1440;466;1063.5171673819743
9869;465;6547.084516129032
2008;465;3991.8156989247314
5891;464;11066.266379310344
4907;464;4209.022198275862
1815;464;5694.439224137931
1828;464;9918.677586206897
327;464;4933.168965517241
2996;464;3489.5150862068967
3035;464;13838.456465517242
4418;463;3701.7971922246224
358;463;872.0760259179266
3391;462;5470.524458874458
6353;462;6941.221428571428
